"id","tracking_id","stat_click_id","session_ip","session_datetime","publisher_id","ad_network_id","advertiser_id","site_id","campaign_id","site_event_id","publisher_ref_id","device_ip","sdk","device_carrier","language","package_name","app_name","country_id","region_id","user_agent","request_url","created","modified","latitude","longitude","match_type","install_date"
"0ed7cd2a610ccc8a01-20150501-1681","b2cb0c8f5a3f02a2bd6f1e8c328a1bca","3082bf9835a1233f8416918c7e45e0e4-20150430-1681","112.215.44.36","2015-04-30 04:12:58",4508,31,1681,8688,245126,25544070,"08868e03-014d-1000-c71a-41653eff00c5","112.215.44.36","ios","XL","id","com.supercell.magic","Clash of Clans",360,11800,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Mobile/11D257","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.magic&response_format=json&sdk=ios&transaction_id=81C86422-87E8-4C88-B52E-B9B35C5551B1&ver=3.5.3&sdk_retry_attempt=0&app_name=Clash%20of%20Clans&app_version=7.65&mobile_country_code=510&carrier_country_code=id&mobile_network_code=11&country_code=ID&device_brand=Apple&device_carrier=XL&device_cpu_subtype=9&device_cpu_type=12&device_model=iPhone3%2C2&insdate=1430527735&ios_ad_tracking=1&ios_ifa=DB92C588-EF5A-4990-87A2-5A7FB02D90EE&ios_ifv=67661573-71EA-46A3-8B80-C15102BBCF3C&language=id&mat_id=6A6D1357-8C19-4AA5-B67B-814F8276125E&os_jailbroke=0&os_version=7.1.2&revenue=0&screen_density=2&screen_size=320x480&system_date=1430528248&user_id=a482146d5230a027&conversion_user_agent=Mozilla%2F5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%207_1_2%20like%20Mac%20OS%20X%29%20AppleWebKit%2F537.51.2%20%28KHTML%2C%20like%20Gecko%29%20Mobile%2F11D257&encrypted_request=1","2015-05-01 00:00:03","2015-05-01 00:00:08",-6.174900000000,106.828300000000,"fingerprint","2015-05-02 00:48:55"
"9e8b6bc5abae2d47ac-20150501-1681","d9e9d886-1e60-4b7a-9981-8252a71efae1","30048406f8646079be879f814e70b2ec-20150427-1681","68.56.61.103","2015-04-27 14:57:39",19808,326,1681,35440,260660,838121304,"07735e6edb9a25648119f0d92c7d2d9b%7C%7C42613%3A3286%2Fclash-of-clans","68.56.61.103","android","Verizon Wireless","English","com.supercell.clashofclans","Clash of Clans",840,23,"Mozilla/5.0 (Linux; Android 4.4.2; VS980 4G Build/KOT49I.VS98028A) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36","https://1681.engine.mobileapptracking.com/serve?ver=3.5&transaction_id=7b4023a2-7cc6-488d-baed-36539ca03567&sdk=android&action=session&advertiser_id=1681&package_name=com.supercell.clashofclans&connection_type=WIFI&app_name=Clash%20of%20Clans&app_version=591&country_code=us&currency_code=USD&device_brand=LGE&device_carrier=Verizon%20Wireless&device_cpu_type=armv7l&device_model=VS980%204G&existing_user=0&insdate=1430438249&installer=com.android.vending&install_referrer=gclid%3Dd9e9d886-1e60-4b7a-9981-8252a71efae1%26utm_source%3Dd9e9d886-1e60-4b7a-9981-8252a71efae1%26utm_medium%3D%26utm_campaign%3D1Im7L%26utm_term%3D%26utm_content%3D%26uaa%3Dgetit%26ct%3D20150427145738%26nw%3D27c&language=English&mat_id=cc156fe1-8e72-4eb0-95ab-3078a26a002a&mobile_country_code=310&mobile_network_code=004&os_version=4.4.2&revenue=0.0&screen_density=3.0&screen_layout_size=1794x1080&sdk_version=3.5&user_id=a482144552c737a0&google_aid=70de6069-7320-4105-b38a-468e99a3fe77&google_ad_tracking_disabled=0&conversion_user_agent=Mozilla%2F5.0%20%28Linux%3B%20Android%204.4.2%3B%20VS980%204G%20Build%2FKOT49I.VS98028A%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F30.0.0.0%20Mobile%20Safari%2F537.36&system_date=1430438347&encrypted_request=1","2015-05-01 00:00:05","2015-05-01 00:00:10",42.964880000000,-85.658590000000,"referrer","2015-04-30 23:57:29"
"33839ba8bb31a54e01-20150501-1681","clqpw5z_jcucfqetaqodw7saeq","ad661cf68421921352-20150424-1681","206.75.36.70","2015-04-24 03:25:43",19576,5,1681,8688,245126,25544070,NULL,"206.75.36.70","ios","Rogers","en","com.supercell.magic","Clash of Clans",124,55,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Mobile/11D257","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.magic&response_format=json&sdk=ios&transaction_id=C29C7AB3-C880-4879-929D-B26645397647&ver=3.5.3&sdk_retry_attempt=0&app_name=Clash%20of%20Clans&app_version=7.65&mobile_country_code=302&carrier_country_code=ca&mobile_network_code=720&country_code=CA&device_brand=Apple&device_carrier=Rogers&device_cpu_subtype=9&device_cpu_type=12&device_model=iPhone3%2C1&insdate=1430438020&ios_ad_tracking=1&ios_ifa=24565798-3F96-4F7D-9B15-F5A1A1F3676E&ios_ifv=F17DB173-576A-401D-82B7-41AFD4F4C57A&language=en&mat_id=E36AABA0-9023-43F3-A2E3-881262C27DB6&os_jailbroke=0&os_version=7.1.2&revenue=0&screen_density=2&screen_size=320x480&system_date=1430438333&user_id=a482141552277759&conversion_user_agent=Mozilla%2F5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%207_1_2%20like%20Mac%20OS%20X%29%20AppleWebKit%2F537.51.2%20%28KHTML%2C%20like%20Gecko%29%20Mobile%2F11D257&encrypted_request=1","2015-05-01 00:00:09","2015-05-01 00:00:14",50.986120000000,-113.821100000000,"inline","2015-04-30 23:53:40"
"0df43c16cb86d9198b-20150501-1681","inmobi-0aef2a16-014d-1000-ef39-418141890092","79eb14c0ad95af689fde1e19b5cc2ce2-20150430-1681","111.2.185.0","2015-04-30 15:29:45",4508,31,1681,32112,257806,834380026,"0aef2a16-014d-1000-ef39-418141890092","111.2.185.0","ios","中国电信","zh-Hans","com.supercell.reef","Reef",156,10664,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F70","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.reef&response_format=json&sdk=ios&transaction_id=3F90BB86-1A6A-4A1E-AA62-AA37A60AA8A1&ver=3.5.3&sdk_retry_attempt=0&app_name=Reef&app_version=20.45.1&mobile_country_code=460&carrier_country_code=cn&mobile_network_code=03&country_code=CN&device_brand=Apple&device_carrier=%E4%B8%AD%E5%9B%BD%E7%94%B5%E4%BF%A1&device_cpu_subtype=1&device_cpu_type=16777228&device_model=iPhone7%2C2&insdate=1422510628&ios_ad_tracking=1&ios_ifa=C13A42A3-3AC7-4906-9AB8-F3B2747EA1E0&ios_ifv=2120900A-5768-4E65-9498-E382809FFEBB&language=zh-Hans&mat_id=F7116193-3F1F-4E4A-84B2-BBDDAE9D4AF6&os_jailbroke=0&os_version=8.3&revenue=0&screen_density=2&screen_size=375x667&system_date=1430438336&user_id=a482145c523924e6&conversion_user_agent=Mozilla%2F5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%208_3%20like%20Mac%20OS%20X%29%20AppleWebKit%2F600.1.4%20%28KHTML%2C%20like%20Gecko%29%20Mobile%2F12F70&encrypted_request=1","2015-05-01 00:00:13","2015-05-01 00:00:18",39.912500000000,116.388800000000,"fingerprint","2015-01-29 05:50:28"
"d8c3454d143ab88b65-20150501-1681","ci_qgotb9mqcfviv7aodub0axg","39c80c4b589d87ade5f29ac62b8bd300-20150414-1681","179.110.163.44","2015-04-14 02:12:49",19808,326,1681,8688,245126,25544070,"8f4e16bba348a44899590e363d85a9e6%7C%7C41118%3A3286%2Fclash-of-clans","201.93.36.75","ios","TIM","pt","com.supercell.magic","Clash of Clans",76,726,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B500","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.magic&response_format=json&sdk=ios&transaction_id=DF00BDAB-72CB-4F4A-9ABC-58B289857E91&ver=3.5.3&sdk_retry_attempt=0&app_name=Clash%20of%20Clans&app_version=7.65&mobile_country_code=724&carrier_country_code=br&mobile_network_code=03&country_code=BR&device_brand=Apple&device_carrier=TIM&device_cpu_subtype=9&device_cpu_type=12&device_model=iPhone2%2C1&insdate=1430315208&ios_ad_tracking=1&ios_ifa=906EF05E-875F-41B3-ACBB-897A5E0F92E2&ios_ifv=29D392DE-E282-475F-A894-04E36A2B965B&language=pt&mat_id=F42BEE05-3A4E-4761-926E-848F8E987269&os_jailbroke=1&os_version=6.1.6&revenue=0&screen_density=1&screen_size=320x480&system_date=1430438343&user_id=a482141752003550&conversion_user_agent=Mozilla%2F5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%206_1_6%20like%20Mac%20OS%20X%29%20AppleWebKit%2F536.26%20%28KHTML%2C%20like%20Gecko%29%20Mobile%2F10B500&encrypted_request=1","2015-05-01 00:00:17","2015-05-01 00:00:22",-23.533700000000,-46.628900000000,"inline","2015-04-29 13:46:48"
"172df8aaf75e6192eb-20150501-1681","e1c9137806ddd82ee15764d89bafdbbc","1ddd4730ba73791c5591c078ba9e0b18-20150430-1681","59.45.72.197","2015-04-30 00:39:22",4508,31,1681,8688,245126,25544070,"07bf7b77-014d-1000-ff94-411d41d00094_carousal_0_529479190_i5_1421377132001753","59.45.72.197","ios",NULL,"zh-Hans","com.supercell.magic","部落冲突",156,10680,"Mozilla/5.0 (iPad; CPU OS 7_0_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mobile/11A501","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.magic&response_format=json&sdk=ios&transaction_id=140C7F75-5F70-4F1A-99EC-84F0E52A008E&ver=3.5.3&sdk_retry_attempt=0&app_name=%E9%83%A8%E8%90%BD%E5%86%B2%E7%AA%81&app_version=7.65&country_code=CN&device_brand=Apple&device_cpu_subtype=10&device_cpu_type=12&device_model=iPad2%2C4&insdate=1430437886&ios_ad_tracking=1&ios_ifa=672F9D42-D739-4A6C-BBD6-482175CD10D4&ios_ifv=07D247F6-F867-45FD-8757-E76DE0E27886&language=zh-Hans&mat_id=97ABBBAF-2CB3-436E-85FF-839EF4ADE8FD&os_jailbroke=0&os_version=7.0.2&revenue=0&screen_density=1&screen_size=768x1024&system_date=1430438345&user_id=a482146d5230a041&conversion_user_agent=Mozilla%2F5.0%20%28iPad%3B%20CPU%20OS%207_0_2%20like%20Mac%20OS%20X%29%20AppleWebKit%2F537.51.1%20%28KHTML%2C%20like%20Gecko%29%20Mobile%2F11A501&encrypted_request=1","2015-05-01 00:00:21","2015-05-01 00:00:27",41.284400000000,123.748600000000,"fingerprint","2015-04-30 23:51:26"
"343e36ebd93d4ff869-20150501-1681","bfefeb9edd604a3ac7bd331e54eb1b97","4066cd6bcacb56964b3f8dac25efd235-20150430-1681","49.97.96.121","2015-04-30 23:55:03",65968,NULL,1681,35440,260660,838121304,"MTgxMDZmYjQ1MWM3ZWU5N2QyZGMxMjU5NGNiYTZhMTY4NGNjYjUxZA","49.97.96.121","android","NTT DOCOMO","Japanese","com.supercell.clashofclans","Clash of Clans",392,9492,"Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; F-03F Build/V18R40A) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","https://1681.engine.mobileapptracking.com/serve?ver=3.5&transaction_id=b4ffe7e8-7629-48cc-b86e-a8acd83741e6&sdk=android&action=session&advertiser_id=1681&package_name=com.supercell.clashofclans&connection_type=mobile&app_name=Clash%20of%20Clans&app_version=591&country_code=jp&currency_code=USD&device_brand=FUJITSU&device_carrier=NTT%20DOCOMO&device_cpu_type=armv7l&device_model=F-03F&existing_user=0&insdate=1430438137&installer=com.android.vending&install_referrer=mat_click_id%3D4066cd6bcacb56964b3f8dac25efd235-20150430-1681&language=Japanese&mat_id=26049792-aa3d-41b1-9f47-dde571e579ed&mobile_country_code=440&mobile_network_code=10&os_version=4.2.2&revenue=0.0&screen_density=2.0&screen_layout_size=1196x720&sdk_version=3.5&conversion_user_agent=Mozilla%2F5.0%20%28Linux%3B%20U%3B%20Android%204.2.2%3B%20ja-jp%3B%20F-03F%20Build%2FV18R40A%29%20AppleWebKit%2F534.30%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Mobile%20Safari%2F534.30&user_id=a482147252c641d4&google_aid=57583b9b-58da-419d-898c-972653808424&google_ad_tracking_disabled=0&system_date=1430438367&encrypted_request=1","2015-05-01 00:00:28","2015-05-01 00:00:35",35.675900000000,139.770000000000,"referrer","2015-04-30 23:55:37"
"50a900a8992fa3cf61-20150501-1681","inmobi-0cb30be7-014d-1000-f113-42cb425900c5","a5f4356a8e63bd712ca97341df93733b-20150430-1681","173.209.211.157","2015-04-30 23:39:34",4508,31,1681,47844,275852,879099886,"0cb30be7-014d-1000-f113-42cb425900c5","173.209.211.157","android",NULL,"English","com.supercell.boombeach","Boom Beach",840,10,"Mozilla/5.0 (Linux; U; Android 4.3; en-us; SM-S975L Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","https://1681.engine.mobileapptracking.com/serve?ver=3.5&transaction_id=0de3bbff-5562-4ea9-a641-b09b606a4e5e&sdk=android&action=session&advertiser_id=1681&package_name=com.supercell.boombeach&connection_type=mobile&app_name=Boom%20Beach&app_version=20046&country_code=us&currency_code=USD&device_brand=samsung&device_carrier=%20&device_cpu_type=armv7l&device_model=SM-S975L&existing_user=0&insdate=1430438280&installer=com.android.vending&install_referrer=mat_tracking_id%3Dinmobi-6445ce54-014c-1000-ff55-41b13f3000c3&language=English&mat_id=32066730-7b6f-4d04-b679-8e36e1db5da6&mobile_country_code=310&mobile_network_code=410&os_version=4.3&revenue=0.0&screen_density=3.0&screen_layout_size=1920x1080&sdk_version=3.5&user_id=a4821450523c5fab&google_aid=5c152c22-aeec-4db3-810e-b6173a0e4d20&google_ad_tracking_disabled=0&conversion_user_agent=Mozilla%2F5.0%20%28Linux%3B%20U%3B%20Android%204.3%3B%20en-us%3B%20SM-S975L%20Build%2FJSS15J%29%20AppleWebKit%2F534.30%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Mobile%20Safari%2F534.30&system_date=1430438386&encrypted_request=1","2015-05-01 00:00:29","2015-05-01 00:00:35",28.055220000000,-82.459320000000,"fingerprint","2015-04-30 23:58:00"
"bbf143335ece2d9aad-20150501-1681","inmobi-0c72fc57-014d-1000-fd9b-415d419b00d7","8f1f7189d80426fad92e4826a42a6741-20150430-1681","173.226.56.6","2015-04-30 22:29:57",4508,31,1681,8688,245126,25544070,"0c72fc57-014d-1000-fd9b-415d419b00d7","173.226.56.6","ios",NULL,"en","com.supercell.magic","Clash of Clans",840,24,"(null)","https://1681.engine.mobileapptracking.com/serve?action=session&advertiser_id=1681&package_name=com.supercell.magic&response_format=json&sdk=ios&transaction_id=B977A735-6359-4233-9725-46820BD5DCA7&ver=3.5.3&sdk_retry_attempt=0&app_name=Clash%20of%20Clans&app_version=7.65&country_code=US&device_brand=Apple&device_cpu_subtype=10&device_cpu_type=12&device_model=iPad2%2C5&iad_attribution=0&insdate=1430322408&ios_ad_tracking=0&ios_ifa=A66CF0AE-6006-4ED8-AE57-776DF541F1F3&ios_ifv=18DFB2A8-3500-4BA9-8AC0-F7E589E503F6&language=en&mat_id=BA7B00AD-2356-444D-99EF-D3D3A332F690&os_jailbroke=0&os_version=8.3&revenue=0&screen_density=1&screen_size=768x1024&system_date=1430438218&user_id=a482146e52315be2&conversion_user_agent=%28null%29&encrypted_request=1","2015-05-01 00:00:35","2015-05-01 00:00:40",45.164940000000,-93.320340000000,"fingerprint","2015-04-29 15:46:48"
